,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
749,Bachelor Arts ,Environmental Studies and Pacific Studies,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
750,Bachelor Arts ,Environmental Studies and Philosophy,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
751,Bachelor Arts ,Environmental Studies and Statistics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
752,Master Environment ,Environmental Modelling,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
753,Bachelor Sciences ,Environmental Planning,4 Year(s),16 Week(s),University of Northern British Columbia,CO-OP
754,College Diploma (DCS) Environment ,Environmental Protection Technology,2 Year(s),12-16 Week(s),Kwantlen Polytechnic University,CO-OP
755,Master Environment ,Environmental Impact Assessment,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
756,Bachelor Arts ,European and Russian Studies,4-5 Year(s),16 Week(s),Carleton University,CO-OP
757,College Diploma (DCS) ,Eco-Interpreter: Cultural and Natural Environment Interpreter's Training Program,1 Year(s),14 Week(s),Cégep de la Gaspésie et des Îles,CO-OP
758,Bachelor Sciences ,"Chartered Accountancy (Options in Actuarial Science, Finance, Information Systems and Operations Research)",5 Year(s),16 Week(s),University of Waterloo,CO-OP
759,Bachelor Engineering ,Chemical Engineering and Society,5 Year(s),16 Week(s),McMaster University,CO-OP
760,College Diploma (DCS) ,Chemical Laboratory Technology - Pharmaceutical,3 Year(s),16 Week(s),Seneca College,CO-OP
761,Bachelor Applied Sciences,Chemical and Biological Engineering,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
762,Bachelor Sciences ,Chemistry and Earth and Ocean Sciences,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
763,Bachelor Sciences ,Chemistry and Mathematics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
764,Bachelor Environment ,Chemistry/ Environmental Chemistry,5  Year(s),12-16  Week(s),University of British Columbia (Okanagan),CO-OP
765,Bachelor Applied Sciences,"Child, Youth & Family",4 Year(s),16 Week(s),University of Guelph,CO-OP
766,Bachelor Business administration ,Business and Humanities,4 Year(s),16 Week(s),University of Toronto,CO-OP
767,Bachelor Business administration ,Business and Information Technology,4 Year(s),16 Week(s),University of Toronto,CO-OP
768,Bachelor Business administration ,Business and Life Sciences,4 Year(s),16 Week(s),University of Toronto,CO-OP
769,Bachelor Business administration ,Business and Physical Sciences,4 Year(s),16 Week(s),University of Toronto,CO-OP
770,Bachelor Business administration ,Business and Social Sciences,4 Year(s),16 Week(s),University of Toronto,CO-OP
771,Bachelor Sciences ,Environmental Geoscience,4.5 Year(s),12-18 Week(s),Acadia University,CO-OP
772,Bachelor Arts ,English and French,5  Year(s),16-18 Week(s),University of Victoria,CO-OP
773,Bachelor ,"English study, writing and translation",3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
774,Bachelor Arts ,English and Medieval Studies,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
775,Bachelor ,English and creative writting,5 Year(s),12-16 Week(s),University of Alberta,CO-OP
776,Bachelor Business administration ,Entrepreneurial Leadership,4 Year(s),12-16 Week(s),Kwantlen Polytechnic University,CO-OP
777,Bachelor Environment ,Environment and Business,5 Year(s),16 Week(s),University of Waterloo,CO-OP
778,Master Sciences ,"Environnement, santé et gestion des catastrophes",1 Year(s),16 Week(s),Université de Montréal,CO-OP
779,Bachelor Environment ,Environment and Resource Management,4-5 Year(s),16 Week(s),University of Guelph,CO-OP
780,Bachelor Environment ,Environment and Resource Studies,5 Year(s),16 Week(s),University of Waterloo,CO-OP
781,Bachelor Sciences ,Biological & Medical Physics,5 Year(s),16 Week(s),University of Guelph,CO-OP
782,Bachelor Engineering ,Building Engineering,4 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
783,Bachelor ,Building Sciences,4 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
784,College Diploma (DCS) ,Building Technics,3 Year(s),12 Week(s),Cégep de Rimouski,CO-OP
785,College Diploma (DCS) Engineering ,Engineering Design & Drafting,2.5 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
786,Bachelor Engineering ,Engineering Systems and Computing,5 Year(s),16 Week(s),University of Guelph,CO-OP
787,College Diploma (DCS) Engineering ,Engineering Technology,3 Year(s),10 to 12 Week(s),Cégep André-Laurendeau,CO-OP
788,College Diploma (DCS) Engineering ,Engineering Technology - Graphics and Design,2 Year(s),12-16 Week(s),College of New Caledonia,CO-OP
789,Bachelor Sciences ,Earth Sciences - Geology,5 Year(s),16 Week(s),University of Waterloo,CO-OP
790,Bachelor Sciences ,Earth Sciences - Geophysics,5 Year(s),16 Week(s),University of Waterloo,CO-OP
791,Bachelor Sciences ,Earth Sciences - Geoscience,5 Year(s),16 Week(s),University of Waterloo,CO-OP
792,Bachelor Sciences ,Earth Sciences - Hydrogeology,5 Year(s),16 Week(s),University of Waterloo,CO-OP
793,Bachelor Arts ,English & French Canadian Literature,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
794,Bachelor Arts ,English - Rhetoric and Professional Writing,5 Year(s),16 Week(s),University of Waterloo,CO-OP
795,Bachelor Management Sciences ,Adventure Tourism,4  Year(s),12-16 Week(s),Thompson Rivers University,CO-OP
796,College Diploma (DCS) ,Aeronautical Construction Technics,3 Year(s),12-32 Week(s),Cégep Édouard-Montpetit,CO-OP
797,College Diploma (DCS) ,Aerospace Manufacturing Technology,3 Year(s),12 - 16* Week(s),Cégep Édouard-Montpetit,CO-OP
798,Bachelor Business administration ,Administration and Finance,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
799,College Diploma (DCS) ,Administrative Techniques - Management of small and medium organisations,3 Year(s),16 Week(s),Collège d'Alma,CO-OP
800,College Diploma (DCS) ,"Administrative Techniques, Management in International Trade",3 Year(s),16 Week(s),Collège Ellis (Trois-Rivières),CO-OP
801,Master Business administration ,Accounting,2 Year(s),16 Week(s),McMaster University,CO-OP
802,College Diploma (DCS) ,Accounting & management Technology,3 Year(s),10 to 12  Week(s),Cégep André-Laurendeau,CO-OP
803,Bachelor Business administration ,Accounting and Financial Services and Administration,4 Year(s),16 Week(s),Douglas College,CO-OP
804,College Diploma (DCS) Business administration ,Accounting and Management,3 Year(s),12* Week(s),Cégep Garneau,CO-OP
805,College Diploma (DCS) ,Accounting and Management Technology (Business Administration),3 Year(s),12-16 Week(s),Cégep Heritage College,CO-OP
806,College Diploma (DCS) ,Aircraft Maintenance Technics,3 Year(s),12-32 Week(s),Cégep Édouard-Montpetit,CO-OP
807,College Diploma (DCS) ,Aircraft Maintenance Technology,4 Year(s),16* Week(s),Cégep Édouard-Montpetit,CO-OP
808,College Diploma (DCS) ,Analytical Chemistry Technology,3.5 Year(s),16 Week(s),Collège de Valleyfield,CO-OP
809,College Diploma (DCS) ,Animal Health Technician,3 Year(s),8-13 Week(s),Cégep de Saint-Hyacinthe,CO-OP
810,Bachelor Arts ,City Studies,4 Year(s),16 Week(s),University of Toronto,CO-OP
811,Bachelor Engineering ,Civil Engineering and Management,5 Year(s),16 Week(s),McMaster University,CO-OP
812,Bachelor Social Sciences ,Civil law and International development and Globalization,4 Year(s),16 Week(s),University of Ottawa,CO-OP
813,College Diploma (DCS) Management Sciences ,Agricultural Biology Stream,3 Year(s),16 Week(s),Cégep de Victoriaville,CO-OP
814,Bachelor ,Agricultural Economics,4 Year(s),12-16 Week(s),Université Laval,CO-OP
815,Bachelor Sciences ,Agroecology,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
816,Bachelor ,Agronomy,4 Year(s),12 Week(s),Université Laval,CO-OP
817,Master Sciences ,Applied Geomatics,2 Year(s),15 Week(s),Université Laval,CO-OP
818,Bachelor Health Sciences ,Applied Kinesiology,4 Year(s),16 Week(s),University of Windsor,CO-OP
819,Bachelor Arts ,Applied Linguistics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
820,Bachelor Sciences ,"Applied Mathematics (Options in Economics, Physics and Engineering Electives)",5 Year(s),16 Week(s),University of Waterloo,CO-OP
821,Bachelor Sciences ,Applied Physics (Geophysics option),5 Year(s),16 Week(s),University of Waterloo,CO-OP
822,College Diploma (DCS) ,Aquaculture,1 Year(s),13 Week(s),Memorial University of Newfoundland,CO-OP
823,Bachelor ,Aquatic Resources,4 Year(s),16-18 Week(s),St. Francis Xavier University,CO-OP
824,Bachelor Applied technology ,Aviation Technology,4 Year(s),14 Week(s),Seneca College,CO-OP
825,College Diploma (DCS) ,Avionics Technics,3 Year(s),12-32 Week(s),Cégep Édouard-Montpetit,CO-OP
826,College Diploma (DCS) ,Avionics Technology,3 Year(s),12 - 16* Week(s),Cégep Édouard-Montpetit,CO-OP
827,Bachelor Business administration ,Organizational Behaviour,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
828,Bachelor Business administration ,Organizational Behavious and Human Resources Management,3 Year(s),16 Week(s),McGill University ,CO-OP
829,Bachelor Arts ,Behavioural Psychology,4 Year(s),8 Week(s),St. Lawrence College of Applied Arts and Technology,CO-OP
830,Bachelor Engineering ,Architectural Conservation and Sustainability Engineering,5 Year(s),16 Week(s),Carleton University,CO-OP
831,College Diploma (DCS) Engineering ,Architectural Engineering Technician,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
832,Bachelor ,Architectural Studies,4-5 Year(s),16 Week(s),Carleton University,CO-OP
833,College Diploma (DCS) ,Architectural and Building Technologies,2.5 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
834,College Diploma (DCS) ,Architectural and Interior Technologies,2.5 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
835,Apprenticeship Vocational & Technical Training (excluding QC) ,Clinical Research,1 Year(s),12 Week(s),Humber College,CO-OP
836,Master Education ,Coaching Studies,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
837,Bachelor Sciences ,Combinatorics and Optimization,5 Year(s),16 Week(s),University of Waterloo,CO-OP
838,Master Engineering ,Commerce Program,2 Year(s),13 Week(s),Dalhousie University,CO-OP
839,Bachelor Business administration ,Commerce and Administration,4 Year(s),16 Week(s),Laurentian University,CO-OP
840,Bachelor ,"Communication, Professional Writing and Multimedia",3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
841,Bachelor Arts ,Communications - Journalism,5 Year(s),16 Week(s),Trinity Western University,CO-OP
842,Bachelor Arts ,Communications - Public Relations,5 Year(s),16 Week(s),Trinity Western University,CO-OP
843,Bachelor Engineering ,Communications Engineering,5 Year(s),16 Week(s),Carleton University,CO-OP
844,Bachelor Arts ,Community Criminal Justice and Criminology,4 Year(s),12-16 Week(s),Kwantlen Polytechnic University,CO-OP
845,College Diploma (DCS) Business administration ,Community Economic Development,2 Year(s),16 Week(s),Nicola Valley Institute of Technology,CO-OP
846,Bachelor ,Community Economics and Social Development,4 Year(s),16 Week(s),Algoma University,CO-OP
847,Bachelor Computer Sciences ,Computer Applications,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
848,Bachelor Computer Sciences ,Computer Applications and Computation Arts,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
849,College Diploma (DCS) ,Computer Automated Systems Technician - Electronics,2 Year(s),12 Week(s),Thompson Rivers University,CO-OP
850,College Diploma (DCS) Computer Sciences ,Computer Control Technology,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
851,College Diploma (DCS) Engineering ,Computer Engineering Technology - Computing Science,3 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
852,Bachelor Engineering ,Computer Engineering and Management,5 Year(s),4 - 16 Week(s),McMaster University,CO-OP
853,Bachelor Engineering ,Computer Engineering and Society,5 Year(s),4 - 16 Week(s),McMaster University,CO-OP
854,Bachelor Computer Sciences ,Computer Games,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
855,Bachelor Sciences ,Computer Industry - Internship option,5 Year(s),"32, 52 or 64 Week(s)",Memorial University of Newfoundland,CO-OP
856,College Diploma (DCS) ,Computer Network Management Techniques,3 Year(s),10 Week(s),Collège de Maisonneuve,CO-OP
857,Bachelor Business administration ,Business & Math,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
858,College Diploma (DCS) Business administration ,Business - Accountancy,2.25 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
859,College Diploma (DCS) Business administration ,Business - Admnistration,2.5 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
860,Bachelor Business administration ,Business - Computer Science,5 Year(s),16 Week(s),Trinity Western University,CO-OP
861,College Diploma (DCS) ,Business - Information Systems,2.25 Year(s),24 Week(s), Saskatchewan Polytechnic,CO-OP
862,Bachelor ,Business / Computer Science,4 Year(s),16 Week(s),University of Windsor,CO-OP
863,Bachelor Sciences ,"Business Administration (Options in Economics, Finance, Human Resources Management)",5 Year(s),16 Week(s),University of Waterloo,CO-OP
864,College Diploma (DCS) ,Business Administration - Financial Management,3 Year(s),Min. 10 Week(s),George Brown College,CO-OP
865,Master Arts ,Composition,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
866,Bachelor Arts & Sciences ,Computational Art and Design Art,3-4 Year(s),12-17 Week(s),Concordia University of Montreal,CO-OP
867,Bachelor Sciences ,Computational Mathematics,5 Year(s),16 Week(s),University of Waterloo,CO-OP
868,Master Sciences ,Scientific Computing,3 Year(s),16 or 32 Week(s),Memorial University of Newfoundland,CO-OP
869,Master Public Health ,Community Nutrirtion,2 Year(s),6-12 (see note) Week(s),University of Toronto,CO-OP
870,College Diploma (DCS) Business administration ,Business Administration - International Business,3 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
871,Bachelor Business administration ,Business Administration - Management,4 Year(s),16 Week(s),Mount Saint Vincent University,CO-OP
872,Master Business administration ,Business Administration and Law,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
873,College Diploma (DCS) Applied technology ,Archive and Records Management,3 Year(s),6  Week(s),John Abbot College,CO-OP
874,Bachelor Management Sciences ,Indigenous Governance and Business Management,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
875,Bachelor Business administration ,Business Finance,5 Year(s),16 Week(s),Lakehead University,CO-OP
876,Bachelor Sciences ,"Biological Sciences (including Zoology, Microbiology and Botany)",4 Year(s),16 Week(s),University of Lethbridge,CO-OP
877,Bachelor Sciences ,Biological and Pharmaceutical Chemistry,4-5 Year(s),16 Week(s),University of Guelph,CO-OP
878,Bachelor Sciences ,Biology and Bioinformatics,5 Year(s),16 Week(s),University of Waterloo,CO-OP
879,Bachelor Sciences ,Biology and Earth and Ocean Sciences (Paleontology),5 Year(s),16-18 Week(s),University of Victoria,CO-OP
880,Bachelor Sciences ,Biomedical Physiology,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
881,Bachelor Sciences ,Biomedical Science,5 Year(s),16 Week(s),University of Ottawa,CO-OP
882,Bachelor Sciences ,Biomedical Toxicology,5 Year(s),16 Week(s),University of Guelph,CO-OP
883,Bachelor Engineering ,Biomedical and Electrical Engineering,5 Year(s),16 Week(s),Carleton University,CO-OP
884,Bachelor ,Applied Business,4 Year(s),Min. 10 Week(s),George Brown College,CO-OP
885,Bachelor Sciences ,Applied Chemistry,5 Year(s),16 Week(s),University of Calgary,CO-OP
886,Bachelor ,Communication - Marketing,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
887,College Diploma (DCS) Business administration ,Clerical work coordination,3 Year(s),12 Week(s),Cégep de Thetford,CO-OP
888,Bachelor Sciences ,Biopharmaceutical Science,5 Year(s),15 Week(s),University of Ottawa,CO-OP
889,Bachelor Engineering ,Biotechnological Engineering,4  Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
890,College Diploma (DCS) ,Biotechnology advanced,3 Year(s),16-32 Week(s),Seneca College,CO-OP
891,Bachelor Sciences ,Biotechnology / Chartered Accountancy,5 Year(s),16 Week(s),University of Waterloo,CO-OP
892,Bachelor Sciences ,Biotechnology/Economics,5 Year(s),16 Week(s),University of Waterloo,CO-OP
893,Master Public Health ,Public Health,2 Year(s),12 Week(s),University of British Columbia (Vancouver),CO-OP
894,Master Public Health ,Public Health,2 Year(s),12-16 Week(s),University of Guelph,CO-OP
895,Bachelor Arts ,Sociology,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
896,Bachelor Social Sciences ,Sociology,5 Year(s),16 Week(s),University of Ottawa,CO-OP
