academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Mechanical Technician,Mechanical Technician,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),New Brunswick Community College NBCC (Moncton),New Brunswick Community College NBCC (Moncton),Lori Cameron,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Power Engineering Technology,Power Engineering Technologyv,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),New Brunswick Community College NBCC (Moncton),New Brunswick Community College NBCC (Moncton),Lori Cameron,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de l'informatique ,College Diploma (DCS) Computer Sciences ,DEC-BAC EN INFORMATIQUE,DEC-BAC EN INFORMATIQUE,3 Year(s),3 Année(s),10 Week(s),10 Semaine(s),Cégep de Trois-Rivières,Cégep de Trois-Rivières,Caroline Hamel,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Biomedical Engineering,Biomedical Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Chemical Engineering,Chemical Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Manufacturing Engineering,Manufacturing Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Civil Engineering,Civil Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Okanagan),University of British Columbia (Okanagan),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Electrical Engineering,Electrical Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Okanagan),University of British Columbia (Okanagan),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Manufacturing Engineering,Manufacturing Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Okanagan),University of British Columbia (Okanagan),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Mechanical Engineering,Mechanical Engineering,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Okanagan),University of British Columbia (Okanagan),Sara Buse,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de la santé ,College Diploma (DCS) Health Sciences ,Health Information Management,Gestion de l'information sur la santé,2 Year(s),2 Année(s),14 Week(s),14 Semaine(s),St. Lawrence College of Applied Arts and Technology,St. Lawrence College of Applied Arts and Technology,Jarrie Burns,CO-OP,Coopératif
Diplôme universitaire de premier cycle Arts & Sciences sociales ,Undergraduate Diploma Arts & Social Sciences ,Intercultural Education,Intercultural Education,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Victoria,University of Victoria,Allison Benner,CO-OP,Coopératif
Maîtrise Sciences de la gestion ,Master Management Sciences ,Economics and Finance,Économie et finance,16 Month(s),16 Mois,10-12 Week(s),10-12 Semaine(s),HEC Montréal,HEC Montréal,Elaine  Pelletier,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Civil Engineering - Master,,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Victoria,University of Victoria,Meeta Khurana,CO-OP,Coopératif
Doctorat Génie ,Doctorate Engineering ,Civil Engineering - Doctorate,,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),University of Victoria,University of Victoria,Meeta Khurana,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Technologie de l'électronique - Télécommunications,Technologie de l'électronique - Télécommunications,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Collège Ahuntsic,Collège Ahuntsic ,Marie-Claude Auclair,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de l'informatique ,College Diploma (DCS) Computer Sciences ,Technologie de l'électronique - Ordinateurs et réseaux,Technologie de l'électronique - Ordinateurs et réseaux,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Collège Ahuntsic,Collège Ahuntsic ,Marie-Claude Auclair,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Technologie de l'électronique industrielle,Technologie de l'électronique industrielle,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Collège Ahuntsic,Collège Ahuntsic ,Marie-Claude Auclair,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Technologie de la mécanique du bâtiment,Technologie de la mécanique du bâtiment,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Collège Ahuntsic,Collège Ahuntsic ,Marie-Claude Auclair,CO-OP,Coopératif
